Date,Open,High,Low,Close,Adj Close,Volume
2015-11-25,247.79,247.85,246.45,246.58,246.58,70518
2015-11-26,247.21,249.91,247.21,249.43,249.43,84297
2015-11-27,250.46,250.6,248.93,249.07,249.07,66676
2015-11-30,248.3,248.4,243.85,244.24,244.24,117528
2015-12-01,245.47,249.08,245.39,248.7,248.7,61341
2015-12-02,248.9,249.0,246.6,246.6,246.6,55558
2015-12-03,245.46,245.49,243.12,244.68,244.68,49723
2015-12-04,241.86,243.31,241.64,242.15,242.15,47979
2015-12-07,243.76,243.81,240.67,240.68,240.68,48477
2015-12-08,240.86,241.77,239.19,239.23,239.23,63313
2015-12-09,239.59,240.3,238.67,239.4,239.4,65350
2015-12-10,239.28,241.31,238.99,240.6,240.6,81176
2015-12-11,240.65,241.83,239.78,240.35,240.35,61336
2015-12-14,237.55,238.49,236.94,238.17,238.17,72617
2015-12-15,239.13,239.54,237.98,238.8,238.8,54287
2015-12-16,240.89,244.37,240.82,243.49,243.49,66772
2015-12-17,245.2,245.69,242.77,244.17,244.17,63271
2015-12-18,241.71,244.14,241.42,243.0,243.0,61138
2015-12-21,243.01,244.69,242.01,243.76,243.76,53526
2015-12-22,244.06,245.51,242.58,245.48,245.48,69969
2015-12-23,245.64,247.49,244.97,246.53,246.53,68707
2015-12-24,247.81,247.96,245.33,245.33,245.33,58777
2015-12-28,245.38,245.51,241.79,241.79,241.79,66381
2015-12-29,240.69,241.61,238.9,241.22,241.22,61632
2015-12-30,242.13,242.42,240.03,240.38,240.38,67553
2016-01-04,239.3,239.35,234.63,234.63,234.63,68178
2016-01-05,233.96,237.25,233.96,236.13,236.13,67016
2016-01-06,236.48,236.48,233.27,234.6,234.6,89014
2016-01-07,233.23,234.54,231.52,231.93,231.93,88011
2016-01-08,230.4,233.78,229.91,233.68,233.68,117164
2016-01-11,230.77,232.27,230.34,230.83,230.83,76834
2016-01-12,232.45,232.85,230.25,230.55,230.55,72236
2016-01-13,232.24,234.26,231.89,233.52,233.52,71912
2016-01-14,230.68,231.52,229.41,231.38,231.38,78137
2016-01-15,233.38,233.76,228.01,228.78,228.78,96870
2016-01-18,225.56,229.16,225.33,228.59,228.59,79302
2016-01-19,228.79,230.12,227.03,230.08,230.08,80141
2016-01-20,229.29,229.3,222.92,224.54,224.54,121075
