Date,Open,High,Low,Close,Adj Close,Volume
2013-03-08,39050,39250,38700,39000,39000,1327998
2013-03-11,39000,39000,38300,38700,38700,1219230
2013-03-12,38700,38950,38400,38400,38400,685005
2013-03-13,38050,38400,37800,38050,38050,1252357
2013-03-14,38000,38200,37500,38200,38200,1021057
2013-03-15,38050,38350,37700,38000,38000,1253720
2013-03-18,37800,38100,37600,37700,37700,1040808
2013-03-19,37600,37700,37200,37400,37400,1524258
2013-03-20,37200,37200,36500,36550,36550,1918578
2013-03-21,36750,36850,35850,36150,36150,1863485
2013-03-22,35950,36650,35950,36250,36250,1071843
2013-03-25,36500,37100,36450,36800,36800,1914770
2013-03-26,36750,37050,36550,36750,36750,1326987
2013-03-27,36950,37200,36650,37000,37000,966985
2013-03-28,36950,37250,36750,37000,37000,1212234
2013-03-29,37500,38000,37350,37500,37500,1117936
2013-04-01,37500,37750,37250,37350,37350,595224
2013-04-02,37550,37850,36650,37300,37300,2024869
2013-04-03,37400,37400,37000,37400,37400,839721
2013-04-04,37350,37400,36450,37000,37000,1157522
2013-04-05,36550,36650,36100,36200,36200,1259975
2013-04-08,36300,36350,35700,36150,36150,899765
2013-04-09,35700,36350,35700,36000,36000,1184366
2013-04-10,37150,37150,36300,36450,36450,1100392
2013-04-11,36700,36900,36500,36850,36850,729446
2013-04-12,37000,37200,36150,36300,36300,1002952
2013-04-15,36050,36100,35400,35800,35800,1028311
2013-04-16,35400,36000,35250,35550,35550,1346600
2013-04-17,35450,35550,34850,35200,35200,1423908
2013-04-18,34700,35100,34500,34850,34850,1117635
2013-04-19,35000,35600,34900,35150,35150,833722
2013-04-22,35000,35900,35000,35750,35750,950132
2013-04-23,35750,35950,35400,35750,35750,835893
2013-04-24,35850,35950,35500,35800,35800,923699
2013-04-25,35950,35950,35350,35550,35550,1190624
2013-04-26,35300,35400,35050,35350,35350,798215
2013-04-29,35150,35400,34900,35150,35150,777790
2013-04-30,35500,36000,35450,36000,36000,1327587
2013-05-02,36000,36000,34800,35200,35200,1662360
2013-05-03,35100,35250,34750,34900,34900,1002721
2013-05-06,35300,35550,35100,35200,35200,789650
2013-05-07,35200,35450,34950,35250,35250,719716
2013-05-08,35400,35750,35150,35150,35150,1014669
2013-05-09,35550,36450,35350,36250,36250,1846679
2013-05-10,36400,37000,36000,36150,36150,1787511
2013-05-13,36100,36350,35800,35900,35900,474084
2013-05-14,35850,36350,35850,36200,36200,928121
2013-05-15,36600,36750,36200,36550,36550,1404939
2013-05-16,36550,37250,36500,36900,36900,1924908
2013-05-20,37300,37400,36900,37350,37350,1113289
2013-05-21,37350,37450,36900,37000,37000,735084
2013-05-22,37250,37500,37100,37350,37350,837839
2013-05-23,37300,37300,36650,36850,36850,680533
2013-05-24,37450,37600,36950,37300,37300,1087944
2013-05-27,37100,37500,37000,37400,37400,501404
2013-05-28,37500,37500,37100,37450,37450,825816
2013-05-29,37450,37650,37350,37600,37600,1392955
2013-05-30,37350,37700,37200,37500,37500,941780
2013-05-31,37450,37750,36950,36950,36950,1112184
2013-06-03,37200,37450,36900,37200,37200,945027
2013-06-04,37200,37350,36850,36850,36850,668579
2013-06-05,37050,37050,36200,36200,36200,1540829
2013-06-07,36950,37150,36200,36250,36250,1204510
2013-06-10,36350,36650,36200,36600,36600,525423
2013-06-11,36750,36750,36300,36500,36500,669345
2013-06-12,36400,36650,36100,36250,36250,763584
2013-06-13,36000,36200,35500,35650,35650,1510247
2013-06-14,35550,35900,35400,35750,35750,940391
2013-06-17,35600,35750,35350,35750,35750,809238
2013-06-18,35600,35850,35350,35650,35650,703080
2013-06-19,35550,35650,35200,35550,35550,739972
2013-06-20,35350,35350,34800,35050,35050,1142880
2013-06-21,34200,34950,34150,34400,34400,1205773
2013-06-24,34200,34550,33750,34000,34000,866331
2013-06-25,33600,34800,33550,34000,34000,1753432
2013-06-26,34050,34250,33550,33650,33650,2004842
2013-06-27,33550,34000,33550,33850,33850,2281655
2013-06-28,33850,34350,33800,34200,34200,1399284
